crop,crop_verdict,category,canonical_name,node_a,node_b,node_c,crop_notes,disease,disease_verdict,disease_reason,disease_check
Melon,VALID,fruit,Melon,YES,YES,YES,,Pythium Diseases,QUESTIONABLE,"Names a pathogen genus rather than a specific disease (damping-off, root rot, fruit rot) and overlaps with damping-off entry.",judged
Microbiota,VALID,ornamental,Microbiota,YES,YES,YES,Microbiota decussata is a coniferous evergreen shrub grown ornamentally as a ground cover.,Phomopsis Cankers And Twig Blights,QUESTIONABLE,"Phomopsis canker/twig blight is well-documented on many conifers (e.g., Juniperus), but specific verified reports on Microbiota decussata are sparse and the association is typically inferred from related Cupressaceae hosts.",judged
Mimosa,VALID,ornamental,Mimosa,YES,YES,YES,,Mimosa Wilt,CORRECT,Mimosa wilt is a well-documented vascular disease of Albizia julibrissin caused by the soilborne fungus Fusarium oxysporum f. sp. perniciosum.,judged
Mugo Pine,VALID,ornamental,Mugo Pine,YES,YES,YES,,Diplodia Sapinea De Not.,QUESTIONABLE,"Names the pathogen (Diplodia sapinea, syn. Sphaeropsis sapinea) rather than the disease it causes (Diplodia tip blight / Sphaeropsis shoot blight), though it is a well-documented pathogen of Mugo pine.",judged
Multiflora Rose,NON_CROP,other,Multiflora Rose,YES,NO,N/A,"Rosa multiflora is an invasive wild shrub, not cultivated as an agricultural or horticultural crop.",,,,skipped: Crop verdict is NON_CROP
Northern Red Oak,VALID,tree_crop,Northern Red Oak,YES,YES,YES,,Drippy Blight,CORRECT,"Drippy blight is a documented bacterial disease (Lonsdalea quercina) affecting red oaks, especially Northern Red Oak, causing oozing cankers and dieback.",judged
Northern Red Oak,VALID,tree_crop,Northern Red Oak,YES,YES,YES,,Cryptocline Fungus,QUESTIONABLE,"Names a fungal genus (Cryptocline, e.g., C. cinerescens causing leaf spot/anthracnose on oaks) rather than a specific disease, and the spelling/usage is informal.",judged
Northern White Cedar,VALID,tree_crop,Northern White Cedar,YES,YES,YES,,Needle Blight Of Cedar,CORRECT,"Needle blight (caused by fungi such as Pestalotiopsis funerea, Phyllosticta thujae, and Kabatina thujae) is a well-documented foliar disease of Northern White Cedar (Thuja occidentalis).",judged
Northern White Cedar,VALID,tree_crop,Northern White Cedar,YES,YES,YES,,Arborvitae Needle Blight,CORRECT,"Arborvitae is the common name for Thuja occidentalis (Northern White Cedar), so arborvitae needle blight directly refers to the same well-documented disease on this host.",judged
Norway Maple,VALID,ornamental,Norway Maple,YES,YES,YES,,Anthracnose,CORRECT,Anthracnose caused by fungi such as Discula and Kabatiella is a well-documented foliar disease of Norway maple (Acer platanoides).,judged
Norway Maple,VALID,ornamental,Norway Maple,YES,YES,YES,,Cristulariella Leaf Spot,CORRECT,Cristulariella depraedans (zonate leaf spot) is a known foliar pathogen of Norway maple and other Acer species.,judged
Norway Spruce,VALID,tree_crop,Norway Spruce,YES,YES,YES,,Rhizosphaera Needle Cast,CORRECT,"Rhizosphaera needle cast, caused by Rhizosphaera kalkhoffii, is a well-documented foliar disease of Norway spruce (Picea abies) and other spruces.",judged
Oak,VALID,tree_crop,Oak,YES,YES,YES,,Ganoderma Root And Butt Rot,CORRECT,"Ganoderma species (e.g., G. applanatum, G. lucidum) are well-documented causes of root and butt rot in oaks.",judged
Oak,VALID,tree_crop,Oak,YES,YES,YES,,Polypore Fungus,QUESTIONABLE,Names a broad fungal group rather than a specific disease; many polypores cause oak wood decay but the label is too vague.,judged
Oak,VALID,tree_crop,Oak,YES,YES,YES,,Oak Wilt,CORRECT,"Oak wilt, caused by Bretziella fagacearum, is a major vascular disease of oaks.",judged
Oak,VALID,tree_crop,Oak,YES,YES,YES,,Bacterial Leaf Scorch,CORRECT,Bacterial leaf scorch caused by Xylella fastidiosa is a well-documented chronic disease of oaks.,judged
Oak,VALID,tree_crop,Oak,YES,YES,YES,,Oak Leaf Blister,CORRECT,Oak leaf blister caused by Taphrina caerulescens is a well-documented foliar disease of oaks.,judged
Oak,VALID,tree_crop,Oak,YES,YES,YES,,Leaf Spot,QUESTIONABLE,Generic symptom-based label that does not specify pathogen; multiple fungi cause leaf spots on oak.,judged
Oak,VALID,tree_crop,Oak,YES,YES,YES,,Botryosphaeria Rots And Cankers,CORRECT,"Botryosphaeria species cause documented cankers and dieback on oaks, especially stressed trees.",judged
Oak,VALID,tree_crop,Oak,YES,YES,YES,,Coryneum Twig Blight,QUESTIONABLE,Coryneum twig blight is more commonly associated with stone fruits; its association with oak is unusual and poorly documented.,judged
Oak,VALID,tree_crop,Oak,YES,YES,YES,,Cytospora Cankers,QUESTIONABLE,Cytospora cankers primarily affect conifers and hardwoods like poplar/willow; oak is an uncommon and weakly documented host.,judged
Oak,VALID,tree_crop,Oak,YES,YES,YES,,Anthracnose,CORRECT,Oak anthracnose caused by Apiognomonia (Discula) quercina is a well-documented foliar/twig disease.,judged
Oak,VALID,tree_crop,Oak,YES,YES,YES,,Monochaetia Fungi,QUESTIONABLE,Names a fungal genus rather than a disease; Monochaetia spp. are minor leaf-spot pathogens occasionally reported on oak.,judged
Oak,VALID,tree_crop,Oak,YES,YES,YES,,Nectria Canker,CORRECT,Nectria canker (Neonectria spp.) is a documented canker disease of oaks and other hardwoods.,judged
Oak Lecanium,INVALID,other,Oak Lecanium,NO,N/A,N/A,"Oak lecanium (Parthenolecanium quercifex) is a scale insect pest of oak trees, not a plant or crop.",,,,skipped: Crop verdict is INVALID
Oat,VALID,cereal,Oat,YES,YES,YES,,Crown Rust,CORRECT,"Crown rust, caused by Puccinia coronata f. sp. avenae, is the most economically important and well-documented foliar disease of oat worldwide.",judged
Ohio Buckeye,VALID,ornamental,Ohio Buckeye,YES,YES,YES,"Aesculus glabra, grown primarily as an ornamental/shade tree; nuts are toxic and not cultivated for food.",Rust,QUESTIONABLE,"Rust is not a commonly documented disease of Ohio Buckeye (Aesculus glabra), which is far more typically affected by leaf blotch (Guignardia aesculi) and powdery mildew; the label is also vague without specifying a causal genus.",judged
Okra,VALID,vegetable,Okra,YES,YES,YES,,Choanephora Fruit Rot,CORRECT,"Choanephora cucurbitarum is a well-documented fungal pathogen causing wet rot of okra flowers and fruits, especially in warm humid conditions.",judged
Onions,VALID,vegetable,Onion,YES,YES,YES,,Downy Mildew,CORRECT,Downy mildew caused by Peronospora destructor is a well-documented and economically important foliar disease of onions.,judged
Orange,VALID,fruit,Orange,YES,YES,YES,,Whisker Mold,QUESTIONABLE,Not a standard citrus disease name; likely a colloquial reference to whisker-like fungal growth (possibly Penicillium or Aspergillus post-harvest molds) rather than an established disease designation.,judged
Orange Coneflower,VALID,ornamental,Orange Coneflower,YES,YES,YES,,Downy Mildew,CORRECT,Downy mildew (caused by Plasmopara halstedii and related oomycetes) is a documented foliar disease of Rudbeckia fulgida (orange coneflower) and other Asteraceae.,judged
Oriental Poppy,VALID,ornamental,Oriental Poppy,YES,YES,YES,,Anthracnose,CORRECT,"Anthracnose caused by Colletotrichum species is a documented foliar and stem disease of Papaver orientale, producing characteristic sunken lesions.",judged
Parsley,VALID,herb_spice,Parsley,YES,YES,YES,,Septoria Leaf Spot,CORRECT,"Septoria petroselini causes a well-documented leaf spot disease on parsley, producing tan lesions with dark borders and pycnidia.",judged
Peach,VALID,fruit,Peach,YES,YES,YES,,Brown Rot,CORRECT,Brown rot caused by Monilinia fructicola/laxa is the most economically important fungal disease of peach worldwide.,judged
Peach,VALID,fruit,Peach,YES,YES,YES,,Peach Leaf Curl,CORRECT,"Classic peach disease caused by Taphrina deformans, producing distorted reddened leaves.",judged
Peach,VALID,fruit,Peach,YES,YES,YES,,Stigmina Fungus,QUESTIONABLE,"Names a pathogen genus (Stigmina carpophila, cause of shot hole/Coryneum blight) rather than the disease itself.",judged
Peach,VALID,fruit,Peach,YES,YES,YES,,"Botryosphaeria Canker, White Rot",QUESTIONABLE,"Botryosphaeria canker does affect peach (gummosis/canker), but 'white rot' is typically an apple disease, making this combined label confusing for peach.",judged
Peach,VALID,fruit,Peach,YES,YES,YES,,Peach Mosaic Virus,CORRECT,"Peach mosaic virus (PcMV), transmitted by the peach bud mite, is a recognized viral disease of peach.",judged
Peach,VALID,fruit,Peach,YES,YES,YES,,Cladosporium Fungi,QUESTIONABLE,"Names a fungal genus rather than a specific disease; Cladosporium carpophilum causes peach scab, but the label is too vague.",judged
Peanut,VALID,legume,Peanut,YES,YES,YES,,Southern Blight,CORRECT,Well-documented soilborne disease of peanut caused by Sclerotium rolfsii (Athelia rolfsii).,judged
Peanut,VALID,legume,Peanut,YES,YES,YES,,Nothopassalora Personata,QUESTIONABLE,"This is the pathogen name (causal agent of late leaf spot of peanut), not a disease name — the disease should be labeled 'Late Leaf Spot'.",judged
Peanut,VALID,legume,Peanut,YES,YES,YES,,Passalora Fungus,QUESTIONABLE,Refers to a fungal genus (former classification of the late leaf spot pathogen) rather than a specific peanut disease.,judged
Pecan,VALID,nut_crop,Pecan,YES,YES,YES,,Pecan Scab,CORRECT,"Pecan scab, caused by Venturia effusa (formerly Fusicladium effusum), is the most economically important disease of pecan.",judged
Pecan,VALID,nut_crop,Pecan,YES,YES,YES,,Diplodia Fungus,QUESTIONABLE,"Names a pathogen genus rather than a specific disease; Diplodia (e.g., Botryosphaeria/Diplodia spp.) can cause shuck dieback or twig dieback in pecan, but the label is vague.",judged
Peony,VALID,ornamental,Peony,YES,YES,YES,,Anthracnose,CORRECT,Anthracnose caused by Colletotrichum spp. is a documented foliar and stem disease of peony.,judged
Peony,VALID,ornamental,Peony,YES,YES,YES,,Phytophthora Crown Rot,CORRECT,"Phytophthora cactorum is a well-known cause of crown and stem rot in peony, especially in poorly drained soils.",judged
Peony,VALID,ornamental,Peony,YES,YES,YES,,Botrytis Blight,CORRECT,"Botrytis paeoniae and B. cinerea cause the classic 'peony blight' affecting buds, stems, and leaves and are among the most common peony diseases.",judged
Pepper,VALID,vegetable,Pepper,YES,YES,YES,,Southern Blight,CORRECT,Sclerotium rolfsii is a well-documented soilborne disease causing crown/stem rot on pepper.,judged
Pepper,VALID,vegetable,Pepper,YES,YES,YES,,Phytophthora Blight,CORRECT,Phytophthora capsici is one of the most economically important diseases of pepper worldwide.,judged
Pepper,VALID,vegetable,Pepper,YES,YES,YES,,Tomato Spotted Wilt Virus,CORRECT,TSWV (Orthotospovirus) is a major thrips-vectored virus of pepper causing ringspots and necrosis.,judged
Pepper,VALID,vegetable,Pepper,YES,YES,YES,,Blossom End Rot,CORRECT,"Well-known calcium-related physiological disorder affecting pepper fruit, analogous to tomato.",judged
Pepper,VALID,vegetable,Pepper,YES,YES,YES,,Bacterial Spot,CORRECT,Xanthomonas euvesicatoria/spp. cause the major foliar/fruit bacterial disease of pepper.,judged
Pepper,VALID,vegetable,Pepper,YES,YES,YES,,Alternaria Black Molds / Stem Cankers,QUESTIONABLE,"Alternaria occurs on pepper as fruit rot and leaf spot, but 'Black Molds / Stem Cankers' is a vague compound label not standard for pepper.",judged
Pepper,VALID,vegetable,Pepper,YES,YES,YES,,Bitter Rot And Anthracnose,QUESTIONABLE,"Anthracnose (Colletotrichum spp.) is a major pepper fruit disease, but 'Bitter Rot' is the apple/grape name for Colletotrichum and combining them as one label is non-standard for pepper.",judged
Phlox,VALID,ornamental,Phlox,YES,YES,YES,,Powdery Mildew,CORRECT,Powdery mildew (Erysiphe cichoracearum/Golovinomyces magnicellulatus) is the most common and well-documented disease of garden phlox.,judged
Phlox,VALID,ornamental,Phlox,YES,YES,YES,,Downy Mildew,CORRECT,Downy mildew caused by Peronospora phlogina is a documented foliar disease of Phlox species.,judged
Phlox,VALID,ornamental,Phlox,YES,YES,YES,,"Root, Stem, And Crown Rots",QUESTIONABLE,"Real disease complex affecting phlox (caused by Rhizoctonia, Pythium, Phytophthora, Sclerotinia), but the label lumps multiple distinct diseases into one vague category.",judged
Piedmont Azalea,VALID,ornamental,Piedmont Azalea,YES,YES,YES,,Leaf And Flower Gall,CORRECT,Leaf and flower gall caused by Exobasidium vaccinii is a well-documented disease of azaleas including Piedmont azalea (Rhododendron canescens).,judged
Pin Oak,VALID,ornamental,Pin Oak,YES,YES,YES,"Quercus palustris; primarily grown as a landscape/shade ornamental tree, with minor timber use.",Drippy Blight,CORRECT,"Drippy blight, caused by the bacterium Lonsdalea quercina in association with the kermes scale insect, is a well-documented disease specifically affecting pin oak (Quercus palustris).",judged
Pine,VALID,tree_crop,Pine,YES,YES,YES,,Pine Needle Rusts,CORRECT,Pine needle rusts caused by Coleosporium and related rust fungi are well-documented foliar diseases of pines.,judged
Pine,VALID,tree_crop,Pine,YES,YES,YES,,Diplodia Sapinea De Not.,QUESTIONABLE,"This names the pathogen (Diplodia sapinea, syn. Sphaeropsis sapinea) with taxonomic authority rather than the disease name Diplodia tip blight or Sphaeropsis blight.",judged
Pine,VALID,tree_crop,Pine,YES,YES,YES,,Ploioderma Needle Cast Of Pine,CORRECT,"Ploioderma needle cast (Ploioderma lethale and related species) is a well-documented needle cast disease of pines, especially hard pines.",judged
Plum/Cherry,MISSPELLED_OR_UNSTANDARDISED,fruit,Plum and Cherry,YES,YES,NO,Combined entry for two distinct stone fruit crops (Prunus domestica and Prunus avium/cerasus); should be split into separate records.,Phloeosporella Fungus,QUESTIONABLE,"Names a pathogen genus (Phloeosporella padi, the anamorph of Blumeriella jaapii) rather than a disease; corresponds to cherry leaf spot.",judged
Plum/Cherry,MISSPELLED_OR_UNSTANDARDISED,fruit,Plum and Cherry,YES,YES,NO,Combined entry for two distinct stone fruit crops (Prunus domestica and Prunus avium/cerasus); should be split into separate records.,Rust,CORRECT,Plum/cherry rust caused by Tranzschelia discolor is a well-documented disease of Prunus species.,judged
Plum/Cherry,MISSPELLED_OR_UNSTANDARDISED,fruit,Plum and Cherry,YES,YES,NO,Combined entry for two distinct stone fruit crops (Prunus domestica and Prunus avium/cerasus); should be split into separate records.,Black Knot,CORRECT,"Black knot, caused by Apiosporina morbosa, is a major and well-known disease of plum and cherry.",judged
Plum/Cherry,MISSPELLED_OR_UNSTANDARDISED,fruit,Plum and Cherry,YES,YES,NO,Combined entry for two distinct stone fruit crops (Prunus domestica and Prunus avium/cerasus); should be split into separate records.,Blumeriella Leaf Spot Of Cherry And Plum,CORRECT,Cherry leaf spot caused by Blumeriella jaapii is a well-established disease of cherry and plum.,judged
Plum/Cherry,MISSPELLED_OR_UNSTANDARDISED,fruit,Plum and Cherry,YES,YES,NO,Combined entry for two distinct stone fruit crops (Prunus domestica and Prunus avium/cerasus); should be split into separate records.,Brown Rots,CORRECT,"Brown rot, caused by Monilinia spp., is a major fruit and blossom disease of stone fruits including plum and cherry.",judged
Plum/Cherry,MISSPELLED_OR_UNSTANDARDISED,fruit,Plum and Cherry,YES,YES,NO,Combined entry for two distinct stone fruit crops (Prunus domestica and Prunus avium/cerasus); should be split into separate records.,Powdery Mildew,CORRECT,Powdery mildew (Podosphaera spp.) is a documented foliar disease of cherry and plum.,judged
Ponderosa Pine,VALID,tree_crop,Ponderosa Pine,YES,YES,YES,,Pine Needlecast,CORRECT,"Needlecast diseases (e.g., Elytroderma, Lophodermium, Lophodermella spp.) are well-documented foliar fungal diseases of Ponderosa pine causing needle discoloration and shedding.",judged
Potato,VALID,root_tuber,Potato,YES,YES,YES,,Bacterial Soft Rot,CORRECT,"Caused by Pectobacterium/Dickeya spp., a well-documented postharvest and field rot of potato tubers.",judged
Potato,VALID,root_tuber,Potato,YES,YES,YES,,Late Blight,CORRECT,Phytophthora infestans late blight is the historically most devastating disease of potato.,judged
Potato,VALID,root_tuber,Potato,YES,YES,YES,,"Rhizoctonia Damping-Off, Blight And Rot",CORRECT,"Rhizoctonia solani causes black scurf, stem canker, and damping-off on potato.",judged
Potato,VALID,root_tuber,Potato,YES,YES,YES,,Early Blight,CORRECT,Alternaria solani early blight is a common foliar disease of potato worldwide.,judged
Potato,VALID,root_tuber,Potato,YES,YES,YES,,"Fusarium Wilts, Blights, Rots And Damping-Off",QUESTIONABLE,"Fusarium dry rot and wilt do affect potato, but the label lumps multiple Fusarium syndromes into one vague genus-level entry rather than a specific disease.",judged
Potato,VALID,root_tuber,Potato,YES,YES,YES,,Phytophthora Root And Stem Rot,QUESTIONABLE,"Phytophthora erythroseptica (pink rot) affects potato, but 'root and stem rot' is the standard soybean-style label and is not the typical name used for potato Phytophthora disease.",judged
Potato,VALID,root_tuber,Potato,YES,YES,YES,,Tomato Spotted Wilt Virus,CORRECT,TSWV is a documented thrips-transmitted virus of potato causing tuber necrosis and foliar symptoms.,judged
Potato Dextrose Agar (Pda),INVALID,other,Potato Dextrose Agar (Pda),NO,N/A,N/A,"Potato Dextrose Agar is a microbiological growth medium, not a plant or crop.",,,,skipped: Crop verdict is INVALID
Privet,VALID,ornamental,Privet,YES,YES,YES,,Thedgonia Ligustrina,QUESTIONABLE,"Names the pathogen (Thedgonia ligustrina, cause of privet leaf blotch/anthracnose-like spot) rather than the disease itself.",judged
Ramp,VALID,vegetable,Ramp,YES,YES,YES,Ramp (Allium tricoccum) is a wild-harvested and increasingly cultivated North American leek used as a culinary vegetable.,Septoria Leaf Spot And Cankers,QUESTIONABLE,"Septoria species can cause leaf spots on various Allium and wild plants, but 'Septoria Leaf Spot And Cankers' on ramp (Allium tricoccum) is not a well-documented disease, and Septoria typically causes leaf spots rather than cankers.",judged
Red Pine,VALID,tree_crop,Red Pine,YES,YES,YES,"Pinus resinosa, cultivated as a timber and ornamental conifer.",Diplodia Sapinea De Not.,QUESTIONABLE,"This names the pathogen (Diplodia sapinea, with taxonomic authority) rather than the disease, which is properly called Diplodia tip blight (or Sphaeropsis tip blight) of pines.",judged
Red Pine,VALID,tree_crop,Red Pine,YES,YES,YES,"Pinus resinosa, cultivated as a timber and ornamental conifer.",Annosum Root Disease,CORRECT,"Annosum root disease (Heterobasidion irregulare/annosum) is a well-documented and economically important root and butt rot of red pine, especially in thinned plantations.",judged
Red Pine,VALID,tree_crop,Red Pine,YES,YES,YES,"Pinus resinosa, cultivated as a timber and ornamental conifer.",Sirococcus Blight Of Conifers,CORRECT,"Sirococcus shoot blight (Sirococcus conigenus/tsugae) is a documented shoot blight affecting red pine and other conifers, particularly seedlings and saplings.",judged
Redbay,NON_CROP,other,Redbay (Persea borbonia),YES,NO,N/A,Redbay is a wild native tree of the southeastern US; not cultivated as an agricultural or horticultural crop.,,,,skipped: Crop verdict is NON_CROP
Redvein Enkianthus,VALID,ornamental,Redvein Enkianthus,YES,YES,YES,,Phyllosticta Leaf Spots,CORRECT,Phyllosticta leaf spot is a documented fungal foliar disease affecting Enkianthus and related Ericaceae ornamentals.,judged
Reed Canarygrass,VALID,forage,Reed Canarygrass,YES,YES,YES,,Leaf Blight,CORRECT,Leaf blight (caused by fungi such as Drechslera/Helminthosporium and Pyrenophora spp.) is a well-documented foliar disease of reed canarygrass (Phalaris arundinacea).,judged
Rhododendrons And Azaleas,VALID,ornamental,Rhododendrons and Azaleas,YES,YES,YES,,Bitter Rot And Anthracnose,INCORRECT,"Bitter rot (Colletotrichum spp.) is a disease of apples and other fruit crops, not a recognized disease of rhododendrons or azaleas.",judged
Rhododendrons And Azaleas,VALID,ornamental,Rhododendrons and Azaleas,YES,YES,YES,,Leaf And Flower Gall,CORRECT,Leaf and flower gall caused by Exobasidium vaccinii is a well-documented disease of azaleas and rhododendrons.,judged
Rhododendrons And Azaleas,VALID,ornamental,Rhododendrons and Azaleas,YES,YES,YES,,Guignardia Blotch,QUESTIONABLE,Guignardia leaf blotch is primarily associated with horse chestnut and other hosts; its association with rhododendrons/azaleas is unusual and the label names a pathogen genus rather than a standard disease name for this crop.,judged
Rhododendrons And Azaleas,VALID,ornamental,Rhododendrons and Azaleas,YES,YES,YES,,Pestalotiopsis Leaf Spot,QUESTIONABLE,"Pestalotiopsis can cause leaf spot/tip blight on rhododendrons, but the label names a pathogen genus rather than a standardized disease name and is often considered a secondary/opportunistic pathogen.",judged
Rice,VALID,cereal,Rice,YES,YES,YES,,Bacterial Panicle Blight,CORRECT,Well-documented disease of rice caused by Burkholderia glumae affecting panicles and grain fill.,judged
Rice,VALID,cereal,Rice,YES,YES,YES,,Narrow Brown Leaf Spot,CORRECT,Established rice disease caused by Cercospora janseana producing narrow brown lesions on leaves.,judged
Rice,VALID,cereal,Rice,YES,YES,YES,,Rice Blast Disease,CORRECT,"Major rice disease caused by Magnaporthe oryzae, one of the most economically damaging pathogens of rice worldwide.",judged
Rice,VALID,cereal,Rice,YES,YES,YES,,"Rhizoctonia Damping-Off, Blight And Rot",QUESTIONABLE,Label conflates multiple distinct Rhizoctonia syndromes; sheath blight (R. solani) is the standard rice disease name rather than this generic grouping.,judged
Rose,VALID,ornamental,Rose,YES,YES,YES,,Powdery Mildew,CORRECT,Powdery mildew caused by Podosphaera pannosa is a well-documented and common fungal disease of roses.,judged
Rose,VALID,ornamental,Rose,YES,YES,YES,,Black Spot,CORRECT,Black spot caused by Diplocarpon rosae is one of the most prevalent and damaging foliar diseases of roses worldwide.,judged
Rose,VALID,ornamental,Rose,YES,YES,YES,,Rose Rosette Virus,CORRECT,"Rose rosette disease, caused by Rose rosette emaravirus and vectored by an eriophyid mite, is a well-documented destructive viral disease of roses.",judged
Saguaro,NON_CROP,other,Saguaro (Carnegiea gigantea),YES,NO,N/A,"Saguaro is a wild desert cactus native to the Sonoran Desert, not cultivated as an agricultural or horticultural crop.",,,,skipped: Crop verdict is NON_CROP
Scarlet Oak,VALID,tree_crop,Scarlet Oak,YES,YES,YES,,Oak Leaf Blister,CORRECT,"Oak leaf blister, caused by Taphrina caerulescens, is a well-documented foliar disease affecting Scarlet Oak (Quercus coccinea) and other red oak group species.",judged
Scots Pine,VALID,tree_crop,Scots Pine,YES,YES,YES,,Diplodia Sapinea De Not.,QUESTIONABLE,This names the pathogen (Diplodia sapinea) with its taxonomic authority rather than the disease it causes (Diplodia tip blight/Sphaeropsis blight).,judged
Scots Pine,VALID,tree_crop,Scots Pine,YES,YES,YES,,Brown Spot Needle Blight,CORRECT,"Brown spot needle blight, caused by Lecanosticta acicola, is a well-documented foliar disease of Scots pine.",judged
Scots Pine,VALID,tree_crop,Scots Pine,YES,YES,YES,,Sphaeropsis Tip Blights And Cankers,CORRECT,"Sphaeropsis (Diplodia) tip blight and canker, caused by Sphaeropsis sapinea/Diplodia sapinea, is a major disease of Scots pine.",judged
Serviceberry,VALID,fruit,Serviceberry,YES,YES,YES,,Anthracnose,CORRECT,Anthracnose caused by Colletotrichum and related fungi is a well-documented foliar and fruit disease of Amelanchier (serviceberry).,judged
Serviceberry,VALID,fruit,Serviceberry,YES,YES,YES,,Powdery Mildew,CORRECT,Powdery mildew (notably Podosphaera species) is a common and well-documented foliar disease of serviceberry.,judged
Shepherd'S-Purse,NON_CROP,other,Shepherd's-purse (Capsella bursa-pastoris),YES,NO,N/A,Common wild weed of the Brassicaceae family; occasionally foraged or used medicinally but not grown as an agricultural or horticultural crop.,,,,skipped: Crop verdict is NON_CROP
Shortleaf Pine,VALID,tree_crop,Shortleaf Pine,YES,YES,YES,,Phytophthora Root Rot,CORRECT,"Phytophthora species (notably P. cinnamomi) cause root rot in Shortleaf Pine and are implicated in littleleaf disease, the most damaging disease of this species.",judged
Singleleaf Pinyon,VALID,nut_crop,Singleleaf Pinyon,YES,YES,YES,"Pinus monophylla, harvested for edible pine nuts.",Pinyon Blister Rust,CORRECT,"Pinyon blister rust, caused by Cronartium occidentale, is a documented stem rust disease affecting singleleaf pinyon (Pinus monophylla) and other pinyon pines in the western US.",judged
Soft Scales,INVALID,other,Soft Scales,NO,N/A,N/A,"Soft scales are sap-sucking insect pests (Coccidae), not a plant or crop.",,,,skipped: Crop verdict is INVALID
Solenostemon,MISSPELLED_OR_UNSTANDARDISED,ornamental,Coleus (Plectranthus scutellarioides),YES,YES,NO,"Solenostemon is an outdated genus name; the plant is now classified as Plectranthus scutellarioides, commonly known as coleus.",Coleus Downy Mildew,CORRECT,"Downy mildew caused by Peronospora belbahrii (and related Peronospora spp.) is a well-documented disease of Solenostemon scutellarioides (coleus), causing leaf chlorosis, distortion, and defoliation.",judged
Soybean,VALID,legume,Soybean,YES,YES,YES,,Southern Blight,CORRECT,"Sclerotium rolfsii causes southern blight on soybean, especially in warm southern production regions.",judged
Soybean,VALID,legume,Soybean,YES,YES,YES,,Cercospora Blight,CORRECT,"Cercospora kikuchii causes Cercospora leaf blight and purple seed stain, a well-documented soybean disease.",judged
Soybean,VALID,legume,Soybean,YES,YES,YES,,Frogeye Leaf Spot,CORRECT,"Caused by Cercospora sojina, this is a major foliar disease of soybean worldwide.",judged
Soybean,VALID,legume,Soybean,YES,YES,YES,,Bean Pod Mottle Virus,CORRECT,BPMV is a Comovirus that infects soybean and is vectored primarily by bean leaf beetles.,judged
Soybean,VALID,legume,Soybean,YES,YES,YES,,Charcoal Rot,CORRECT,"Macrophomina phaseolina causes charcoal rot, a serious drought-associated soybean disease.",judged
Soybean,VALID,legume,Soybean,YES,YES,YES,,Soybean Rust,CORRECT,"Phakopsora pachyrhizi causes Asian soybean rust, one of the most economically important soybean diseases.",judged
Soybean,VALID,legume,Soybean,YES,YES,YES,,Taproot Decline On Soybean,CORRECT,"Xylaria necrophora causes taproot decline, an emerging disease documented in the southern U.S. soybean belt.",judged
Soybean,VALID,legume,Soybean,YES,YES,YES,,Brown Stem Rot,CORRECT,"Cadophora gregata (Phialophora gregata) causes brown stem rot, a well-known soybean disease.",judged
Soybean,VALID,legume,Soybean,YES,YES,YES,,Soybean Vein Necrosis Virus,CORRECT,"SVNV is a Tospovirus widespread in U.S. soybean, transmitted by thrips.",judged
Soybean,VALID,legume,Soybean,YES,YES,YES,,Root And Stem Rot,QUESTIONABLE,"Generic symptom-based label that could refer to Phytophthora, Pythium, Fusarium, or Rhizoctonia rather than one defined disease.",judged
Soybean,VALID,legume,Soybean,YES,YES,YES,,Bacterial Blight,CORRECT,"Pseudomonas savastanoi pv. glycinea causes bacterial blight, a common foliar disease of soybean.",judged
Soybean,VALID,legume,Soybean,YES,YES,YES,,Sclerotinia Timber Rot,QUESTIONABLE,Unusual name for soybean; Sclerotinia sclerotiorum on soybean is typically called Sclerotinia stem rot or white mold.,judged
Soybean,VALID,legume,Soybean,YES,YES,YES,,Septoria Leaf Spot,CORRECT,"Septoria glycines causes brown spot (Septoria leaf spot), the most common foliar disease of soybean.",judged
Soybean,VALID,legume,Soybean,YES,YES,YES,,Genus Diaporthe,QUESTIONABLE,"Names a pathogen genus rather than a disease; Diaporthe spp. cause pod and stem blight, stem canker, and Phomopsis seed decay on soybean.",judged
Soybean,VALID,legume,Soybean,YES,YES,YES,,Downy Mildew,CORRECT,"Peronospora manshurica causes soybean downy mildew, a globally distributed foliar disease.",judged
Soybean,VALID,legume,Soybean,YES,YES,YES,,"Rhizoctonia Damping-Off, Blight And Rot",CORRECT,"Rhizoctonia solani causes seedling damping-off, aerial blight, and root rot in soybean.",judged
Soybean,VALID,legume,Soybean,YES,YES,YES,,Bacterial Pustule Of Soybean Disease,CORRECT,"Xanthomonas axonopodis pv. glycines causes bacterial pustule, a recognized foliar disease of soybean.",judged
Spinach,VALID,vegetable,Spinach,YES,YES,YES,,Downy Mildew,CORRECT,Downy mildew caused by Peronospora effusa (P. farinosa f. sp. spinaciae) is the most economically important disease of spinach worldwide.,judged
Spinach,VALID,vegetable,Spinach,YES,YES,YES,,White Rust,CORRECT,"White rust of spinach caused by Albugo occidentalis is a well-documented oomycete disease, particularly significant in Texas and southern U.S. production.",judged
Spinach,VALID,vegetable,Spinach,YES,YES,YES,,Cladosporium Leaf Spot,CORRECT,"Cladosporium leaf spot (Cladosporium variabile), also known as Cladosporium leaf spot or Heterosporium leaf spot, is a recognized fungal disease of spinach.",judged
